epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25371.9,0.91765,0.43806,1.06669,0.98519,0.97362,0.98856,0.90865,0.40573,0.29065,0.85178,0.000990365,0.000990365,0.000990365
43,25931.5,0.93127,0.44091,1.07394,0.99604,0.97191,0.99025,0.9221,0.39511,0.28686,0.84439,0.000973861,0.000973861,0.000973861
44,26484.1,0.90704,0.43744,1.06102,0.9922,0.97674,0.98973,0.90108,0.42141,0.31194,0.8564,0.000957358,0.000957358,0.000957358
45,27088.4,0.88685,0.43092,1.05804,0.99152,0.96368,0.98958,0.92074,0.39614,0.2976,0.8464,0.000940855,0.000940855,0.000940855
46,27708.1,0.88263,0.42389,1.04645,0.99739,0.96463,0.99114,0.91861,0.41689,0.29478,0.8521,0.000924352,0.000924352,0.000924352
47,28285.9,0.90325,0.4387,1.05852,0.99246,0.96483,0.99014,0.921,0.39463,0.28559,0.84199,0.000907848,0.000907848,0.000907848
48,28822.8,0.88378,0.42532,1.05599,0.99982,0.97286,0.99049,0.92554,0.40726,0.28366,0.84982,0.000891345,0.000891345,0.000891345
49,29430.8,0.88098,0.42445,1.04971,0.99342,0.96446,0.98966,0.91847,0.39859,0.29378,0.84871,0.000874842,0.000874842,0.000874842
50,30065.7,0.86511,0.41038,1.0419,0.98664,0.97349,0.98775,0.92152,0.39672,0.27179,0.83524,0.000858338,0.000858338,0.000858338
51,30641,0.88349,0.41726,1.05123,0.99826,0.97236,0.98895,0.91821,0.38783,0.28441,0.83751,0.000841835,0.000841835,0.000841835
52,31279.1,0.86999,0.4176,1.03408,0.98587,0.96732,0.98822,0.91836,0.38309,0.28233,0.83194,0.000825332,0.000825332,0.000825332
53,31890.8,0.85608,0.40966,1.03541,0.98533,0.97239,0.99072,0.93312,0.37123,0.2686,0.82831,0.000808828,0.000808828,0.000808828
54,32532.4,0.85796,0.40836,1.03786,0.99682,0.96397,0.99072,0.91746,0.3879,0.28172,0.83743,0.000792325,0.000792325,0.000792325
55,33112,0.84458,0.40412,1.03612,0.99742,0.96664,0.98829,0.91842,0.3762,0.27895,0.83379,0.000775822,0.000775822,0.000775822
56,33694.4,0.86445,0.41392,1.04442,0.99389,0.97781,0.99145,0.93115,0.38649,0.27093,0.83642,0.000759318,0.000759318,0.000759318
57,34281.7,0.84207,0.4053,1.04273,0.99538,0.96472,0.98969,0.92718,0.3769,0.28944,0.83636,0.000742815,0.000742815,0.000742815
58,34908.7,0.83951,0.40081,1.03241,0.98995,0.97349,0.98821,0.92091,0.38252,0.27672,0.83949,0.000726312,0.000726312,0.000726312
59,35523.4,0.83626,0.4045,1.02263,0.99262,0.97349,0.99023,0.92923,0.37431,0.26664,0.82928,0.000709809,0.000709809,0.000709809
60,36107,0.8365,0.40344,1.03127,0.99731,0.98425,0.99123,0.93948,0.36979,0.25739,0.83037,0.000693305,0.000693305,0.000693305
61,36715.1,0.83166,0.39499,1.02213,0.99542,0.96538,0.99132,0.93921,0.36114,0.26438,0.82732,0.000676802,0.000676802,0.000676802
62,37346.4,0.81126,0.38549,1.02044,0.98738,0.9911,0.99097,0.93031,0.35259,0.25238,0.82299,0.000660299,0.000660299,0.000660299
63,37926.9,0.80282,0.39172,1.01497,0.98683,0.98899,0.99127,0.93649,0.35249,0.25727,0.82309,0.000643795,0.000643795,0.000643795
64,38527.9,0.80632,0.3856,1.01187,0.99267,0.98455,0.99157,0.93382,0.36814,0.25811,0.82505,0.000627292,0.000627292,0.000627292
