epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2032.92,0.9484,0.57147,1.07311,0.83696,0.80292,0.83304,0.65395,0.71948,0.56942,1.02884,0.00033032,0.00033032,0.00033032
43,2081.05,0.94599,0.56611,1.06812,0.84698,0.79162,0.83615,0.66305,0.70755,0.55324,1.01804,0.000324815,0.000324815,0.000324815
44,2129.34,0.92976,0.55929,1.06029,0.85515,0.77526,0.83488,0.663,0.70767,0.54863,1.02083,0.000319311,0.000319311,0.000319311
45,2177.48,0.93256,0.55198,1.06034,0.85009,0.78091,0.8369,0.6682,0.70489,0.55693,1.01795,0.000313806,0.000313806,0.000313806
46,2225.89,0.93165,0.55729,1.06136,0.85854,0.78426,0.83901,0.66315,0.69703,0.56455,1.0195,0.000308302,0.000308302,0.000308302
47,2274.1,0.92121,0.54651,1.05253,0.85577,0.7975,0.85013,0.68275,0.68434,0.53474,1.01568,0.000302798,0.000302798,0.000302798
48,2322.68,0.91379,0.53873,1.05183,0.86479,0.77707,0.83966,0.66474,0.70135,0.54342,1.02299,0.000297293,0.000297293,0.000297293
49,2371.11,0.90754,0.5383,1.05227,0.85226,0.79872,0.83826,0.67338,0.67845,0.53622,1.00464,0.000291789,0.000291789,0.000291789
50,2419.74,0.9052,0.53305,1.0479,0.86134,0.7754,0.83827,0.67179,0.69132,0.55128,1.00891,0.000286284,0.000286284,0.000286284
51,2467.99,0.9038,0.53285,1.04561,0.87225,0.78619,0.84828,0.67755,0.689,0.53279,1.01352,0.00028078,0.00028078,0.00028078
52,2516.49,0.9031,0.53237,1.04515,0.87533,0.79206,0.85763,0.68526,0.68126,0.53028,1.00741,0.000275276,0.000275276,0.000275276
53,2564.99,0.88907,0.52084,1.04167,0.85649,0.79679,0.84401,0.67637,0.68131,0.53964,1.00402,0.000269771,0.000269771,0.000269771
54,2613.26,0.88958,0.52399,1.0409,0.86225,0.78783,0.85042,0.68616,0.66894,0.52251,1.00791,0.000264267,0.000264267,0.000264267
55,2661.44,0.87976,0.51258,1.03225,0.84603,0.79894,0.84481,0.67998,0.68142,0.53025,1.00602,0.000258762,0.000258762,0.000258762
56,2709.79,0.8731,0.50802,1.03319,0.82563,0.80798,0.8398,0.68193,0.67234,0.54191,1.00424,0.000253258,0.000253258,0.000253258
57,2757.91,0.86697,0.5065,1.02815,0.86169,0.7891,0.83789,0.67855,0.67356,0.54331,1.00201,0.000247754,0.000247754,0.000247754
58,2807.15,0.86095,0.50772,1.02854,0.8413,0.79228,0.8325,0.67704,0.66445,0.5444,0.99618,0.000242249,0.000242249,0.000242249
59,2855.35,0.84773,0.49438,1.01857,0.8704,0.78907,0.83685,0.68474,0.66377,0.53248,0.99209,0.000236745,0.000236745,0.000236745
60,2903.56,0.84911,0.49199,1.01854,0.85253,0.80489,0.84131,0.68094,0.66991,0.52532,1.00497,0.00023124,0.00023124,0.00023124
61,2951.98,0.84334,0.49527,1.01655,0.86264,0.80823,0.84925,0.69066,0.66082,0.5336,0.99754,0.000225736,0.000225736,0.000225736
62,3000.5,0.848,0.49321,1.01981,0.86772,0.78315,0.84346,0.68565,0.65876,0.5292,0.99601,0.000220232,0.000220232,0.000220232
63,3048.71,0.83849,0.48319,1.01233,0.85046,0.79257,0.83572,0.68092,0.66233,0.53732,1.0024,0.000214727,0.000214727,0.000214727
64,3096.86,0.83284,0.48101,1.01001,0.88446,0.77988,0.85025,0.69324,0.65615,0.52348,1.00732,0.000209223,0.000209223,0.000209223
65,3145.36,0.82159,0.47651,1.00712,0.86925,0.79005,0.84639,0.68873,0.65861,0.52151,0.99856,0.000203718,0.000203718,0.000203718
66,3193.81,0.81485,0.46972,1.00334,0.87455,0.79804,0.84855,0.69325,0.65619,0.52481,1.00381,0.000198214,0.000198214,0.000198214
