epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22619.5,0.82615,0.47922,1.06508,0.9828,0.97507,0.99342,0.86273,0.56011,0.35102,0.97055,0.000663025,0.000663025,0.000663025
43,23098,0.82237,0.4758,1.06568,0.96854,0.99049,0.99315,0.86635,0.49323,0.35229,0.92105,0.000657025,0.000657025,0.000657025
44,23654.6,0.78783,0.45669,1.04791,0.96769,0.96152,0.98991,0.88079,0.48933,0.34229,0.91367,0.000651026,0.000651026,0.000651026
45,24177.2,0.81041,0.47257,1.06425,0.96914,0.96911,0.9916,0.84883,0.51975,0.34799,0.93554,0.000645026,0.000645026,0.000645026
46,24730.6,0.79687,0.45767,1.0577,0.97197,0.97874,0.99321,0.87776,0.48445,0.3419,0.92442,0.000639027,0.000639027,0.000639027
47,25207.3,0.79284,0.46089,1.0495,0.97123,0.98945,0.99355,0.87248,0.50485,0.34758,0.9341,0.000633028,0.000633028,0.000633028
48,25689.3,0.79112,0.46272,1.04615,0.95653,0.99197,0.99306,0.86213,0.50609,0.33794,0.91831,0.000627028,0.000627028,0.000627028
49,26146.5,0.77879,0.45358,1.0383,0.96085,0.98662,0.99321,0.88824,0.47271,0.334,0.90304,0.000621029,0.000621029,0.000621029
50,26740.6,0.79786,0.46145,1.05294,0.98157,0.97925,0.99223,0.86795,0.49088,0.34367,0.91179,0.000615029,0.000615029,0.000615029
51,27229.6,0.7817,0.45596,1.04456,0.96426,0.98391,0.99226,0.86841,0.47344,0.34044,0.89899,0.00060903,0.00060903,0.00060903
52,27742.3,0.80181,0.46241,1.05433,0.97795,0.96206,0.99202,0.87668,0.49322,0.33895,0.91517,0.000603031,0.000603031,0.000603031
53,28222.3,0.77565,0.44074,1.02815,0.98589,0.97596,0.99358,0.87967,0.48507,0.32554,0.90999,0.000597031,0.000597031,0.000597031
54,28799.8,0.77383,0.45354,1.04129,0.98141,0.97915,0.99391,0.87536,0.4835,0.30871,0.91124,0.000591032,0.000591032,0.000591032
55,29309.6,0.76529,0.44378,1.03349,0.96636,0.98339,0.99372,0.8719,0.49579,0.33045,0.91261,0.000585032,0.000585032,0.000585032
56,29815.4,0.75859,0.4516,1.04197,0.97463,0.97835,0.99329,0.87082,0.48845,0.33017,0.91996,0.000579033,0.000579033,0.000579033
57,30296.4,0.75948,0.43773,1.03225,0.97352,0.99129,0.99374,0.89298,0.46995,0.31144,0.90962,0.000573034,0.000573034,0.000573034
58,30870.8,0.75876,0.433,1.03461,0.98413,0.98522,0.99307,0.87627,0.47381,0.31997,0.8997,0.000567034,0.000567034,0.000567034
59,31404.4,0.75638,0.43138,1.02854,0.97359,0.98502,0.9936,0.86719,0.46414,0.34127,0.89785,0.000561035,0.000561035,0.000561035
60,31999.6,0.76015,0.42984,1.03477,0.97697,0.98809,0.99402,0.87388,0.47133,0.32517,0.90243,0.000555035,0.000555035,0.000555035
61,32455.3,0.75391,0.43305,1.03267,0.96198,0.98422,0.99259,0.87239,0.48755,0.329,0.91445,0.000549036,0.000549036,0.000549036
62,32972.3,0.73583,0.42362,1.02422,0.97948,0.99197,0.99319,0.8784,0.50082,0.3234,0.9176,0.000543037,0.000543037,0.000543037
63,33453,0.75138,0.43944,1.02975,0.96929,0.9928,0.99309,0.87007,0.47085,0.32351,0.89524,0.000537037,0.000537037,0.000537037
64,34023.1,0.72177,0.41358,1.01474,0.95588,0.99197,0.99186,0.88858,0.44936,0.32256,0.89373,0.000531038,0.000531038,0.000531038
65,34499.3,0.74612,0.42745,1.02699,0.97034,0.98018,0.99317,0.88973,0.45928,0.31635,0.89371,0.000525038,0.000525038,0.000525038
66,35017.5,0.72776,0.41252,1.01199,0.96613,0.98563,0.99295,0.87007,0.45404,0.31871,0.89192,0.000519039,0.000519039,0.000519039
67,35493.4,0.72617,0.41359,1.00774,0.97647,0.97326,0.99327,0.86795,0.49128,0.3298,0.92051,0.00051304,0.00051304,0.00051304
68,35982.2,0.7197,0.40689,1.01114,0.96676,0.98822,0.993,0.88046,0.46431,0.31667,0.89699,0.00050704,0.00050704,0.00050704
69,36438.7,0.72011,0.41718,1.01364,0.96929,0.98178,0.99345,0.88036,0.46724,0.31046,0.90755,0.000501041,0.000501041,0.000501041
70,36976.2,0.7343,0.41317,1.01007,0.96879,0.98315,0.9932,0.89068,0.4669,0.31615,0.89887,0.000495041,0.000495041,0.000495041
71,37458.2,0.70444,0.40985,1.00236,0.956,0.99197,0.99212,0.88246,0.45637,0.30742,0.90432,0.000489042,0.000489042,0.000489042
72,38003.1,0.69942,0.40653,1.00175,0.97287,0.97612,0.99212,0.89051,0.46026,0.30976,0.89703,0.000483043,0.000483043,0.000483043
73,38448.2,0.71626,0.41205,1.0081,0.97454,0.96871,0.99216,0.88301,0.45646,0.30635,0.89111,0.000477043,0.000477043,0.000477043
74,38969.7,0.71699,0.40644,1.0063,0.96846,0.99212,0.99012,0.88458,0.45274,0.31983,0.89535,0.000471044,0.000471044,0.000471044
75,39453.4,0.71352,0.406,1.00235,0.97624,0.98284,0.99246,0.9007,0.44101,0.29224,0.88852,0.000465044,0.000465044,0.000465044
76,39990.7,0.69757,0.39797,0.99975,0.97471,0.97581,0.99329,0.88295,0.47142,0.30807,0.89537,0.000459045,0.000459045,0.000459045
77,40437.7,0.69664,0.40101,1.00131,0.9756,0.98513,0.99333,0.88461,0.45788,0.316,0.88408,0.000453046,0.000453046,0.000453046
78,40971.7,0.70381,0.40413,1.00769,0.96966,0.97793,0.99223,0.88696,0.44478,0.31176,0.88356,0.000447046,0.000447046,0.000447046
79,41472.1,0.69123,0.39697,0.99423,0.96219,0.97772,0.99221,0.87921,0.44839,0.31237,0.89244,0.000441047,0.000441047,0.000441047
80,41981.9,0.6948,0.39278,0.99862,0.97492,0.98141,0.9922,0.8751,0.45968,0.31823,0.90576,0.000435047,0.000435047,0.000435047
81,42583.3,0.69372,0.39745,1.00243,0.97133,0.98575,0.99234,0.89044,0.46793,0.31046,0.90371,0.000429048,0.000429048,0.000429048
82,43109.9,0.68283,0.3984,0.99966,0.963,0.98809,0.99307,0.87641,0.45911,0.31775,0.8946,0.000423049,0.000423049,0.000423049
83,43617.2,0.67975,0.3986,0.9925,0.96783,0.98499,0.99276,0.89217,0.45013,0.3053,0.89841,0.000417049,0.000417049,0.000417049
84,44123.5,0.68763,0.3926,0.99778,0.96215,0.9877,0.99244,0.88632,0.43904,0.30139,0.87954,0.00041105,0.00041105,0.00041105
85,44729.4,0.68102,0.37975,0.99112,0.9631,0.98725,0.99275,0.90066,0.44049,0.29073,0.89943,0.00040505,0.00040505,0.00040505
86,45265.6,0.6679,0.38319,0.98623,0.9722,0.993,0.99323,0.88413,0.45773,0.29822,0.90242,0.000399051,0.000399051,0.000399051
87,45764.1,0.67234,0.38042,0.99201,0.97105,0.98833,0.99365,0.89589,0.44088,0.30115,0.89203,0.000393052,0.000393052,0.000393052
88,46272,0.66141,0.37013,0.98093,0.96739,0.99094,0.99291,0.89074,0.44098,0.28942,0.89679,0.000387052,0.000387052,0.000387052
89,46895.5,0.64865,0.37669,0.98108,0.9683,0.98653,0.99288,0.89296,0.4515,0.29596,0.89804,0.000381053,0.000381053,0.000381053
90,47438.9,0.64973,0.37494,0.97537,0.9713,0.98617,0.9937,0.88249,0.45642,0.29396,0.9028,0.000375053,0.000375053,0.000375053
91,47908.2,0.64645,0.37417,0.97434,0.98484,0.96949,0.99307,0.88707,0.44258,0.28739,0.89263,0.000369054,0.000369054,0.000369054
92,48387.9,0.64696,0.36749,0.97217,0.98051,0.97032,0.99325,0.88866,0.43156,0.28224,0.88142,0.000363055,0.000363055,0.000363055
93,48837.5,0.64145,0.36419,0.9751,0.97218,0.98799,0.9933,0.8868,0.43925,0.2775,0.8863,0.000357055,0.000357055,0.000357055
94,49372,0.63,0.3691,0.97087,0.98062,0.96516,0.99234,0.8889,0.44051,0.29284,0.88427,0.000351056,0.000351056,0.000351056
95,49845.3,0.65678,0.37522,0.97748,0.98138,0.97493,0.99147,0.89604,0.44238,0.29461,0.88801,0.000345056,0.000345056,0.000345056
96,50336.6,0.65068,0.36678,0.9751,0.96846,0.98569,0.99278,0.88622,0.43404,0.28314,0.88071,0.000339057,0.000339057,0.000339057
97,50798.4,0.64071,0.36219,0.96629,0.96268,0.98937,0.99126,0.88579,0.44905,0.29979,0.88856,0.000333058,0.000333058,0.000333058
98,51316.7,0.63561,0.36164,0.96899,0.96499,0.97861,0.9928,0.8832,0.45566,0.29704,0.90813,0.000327058,0.000327058,0.000327058
99,51797.5,0.643,0.37056,0.97828,0.97713,0.97331,0.99347,0.8749,0.44852,0.29787,0.90536,0.000321059,0.000321059,0.000321059
100,52348.7,0.64032,0.36197,0.96713,0.97614,0.97256,0.99316,0.87206,0.45753,0.29285,0.90583,0.000315059,0.000315059,0.000315059
101,52791.2,0.61339,0.35316,0.95849,0.97336,0.97515,0.99363,0.87678,0.44739,0.29327,0.90178,0.00030906,0.00030906,0.00030906
102,53308.2,0.61237,0.351,0.96136,0.97253,0.98919,0.99305,0.88596,0.44455,0.28635,0.89876,0.000303061,0.000303061,0.000303061
103,53759.1,0.62532,0.35622,0.96798,0.97538,0.98877,0.99328,0.89787,0.43683,0.28099,0.90308,0.000297061,0.000297061,0.000297061
104,54287.2,0.62636,0.35059,0.96339,0.97411,0.9803,0.99274,0.88436,0.44412,0.27893,0.90061,0.000291062,0.000291062,0.000291062
105,54747.6,0.62256,0.35683,0.97378,0.97736,0.97665,0.99244,0.88645,0.43086,0.28017,0.88604,0.000285062,0.000285062,0.000285062
106,55284.5,0.60532,0.34801,0.95299,0.9753,0.98474,0.99254,0.88232,0.43055,0.27552,0.88694,0.000279063,0.000279063,0.000279063
107,55751.2,0.60446,0.35225,0.95939,0.97257,0.98586,0.99271,0.88976,0.43003,0.29332,0.89664,0.000273064,0.000273064,0.000273064
108,56216.5,0.6058,0.34677,0.95814,0.97721,0.99147,0.99286,0.90096,0.41952,0.2731,0.89702,0.000267064,0.000267064,0.000267064
109,56664.6,0.59696,0.34355,0.96091,0.97144,0.9911,0.99307,0.89361,0.42237,0.2756,0.89317,0.000261065,0.000261065,0.000261065
110,57202.9,0.59558,0.34128,0.95816,0.98282,0.98972,0.99298,0.89987,0.42348,0.2908,0.89923,0.000255065,0.000255065,0.000255065
111,57666,0.59794,0.34167,0.9545,0.97548,0.98935,0.99326,0.90278,0.41191,0.27053,0.89288,0.000249066,0.000249066,0.000249066
112,58132,0.5988,0.34403,0.95614,0.98264,0.98518,0.99262,0.89383,0.41868,0.27296,0.88843,0.000243067,0.000243067,0.000243067
113,58577.4,0.59094,0.34576,0.95682,0.9705,0.98963,0.99296,0.90162,0.42393,0.27266,0.89864,0.000237067,0.000237067,0.000237067
114,59096.3,0.58402,0.33252,0.95385,0.98337,0.99101,0.99261,0.89263,0.42864,0.27525,0.89971,0.000231068,0.000231068,0.000231068
115,59586.9,0.58309,0.33543,0.94721,0.98798,0.98949,0.99273,0.901,0.42011,0.26846,0.88745,0.000225068,0.000225068,0.000225068
116,60122.2,0.58938,0.33833,0.94884,0.97578,0.98943,0.99261,0.90089,0.42702,0.26692,0.89334,0.000219069,0.000219069,0.000219069
117,60576.4,0.58205,0.33193,0.95234,0.97368,0.98908,0.99254,0.89271,0.41467,0.273,0.88378,0.00021307,0.00021307,0.00021307
118,61112.7,0.58016,0.33483,0.94747,0.98315,0.9948,0.99241,0.88295,0.41584,0.27558,0.88085,0.00020707,0.00020707,0.00020707
119,61616.2,0.58536,0.33108,0.95157,0.97362,0.98991,0.9935,0.89736,0.42085,0.27353,0.87903,0.000201071,0.000201071,0.000201071
120,62102.8,0.57684,0.33085,0.94883,0.97429,0.98565,0.99266,0.8883,0.41595,0.27217,0.87296,0.000195071,0.000195071,0.000195071
121,62552.9,0.57235,0.32597,0.94231,0.96845,0.98959,0.99303,0.89618,0.41224,0.27875,0.87764,0.000189072,0.000189072,0.000189072
122,63069.3,0.57308,0.32568,0.94422,0.963,0.9819,0.9922,0.88655,0.42562,0.27745,0.89469,0.000183073,0.000183073,0.000183073
123,63560.3,0.56247,0.32134,0.93588,0.97739,0.98424,0.99238,0.89265,0.42241,0.26833,0.89791,0.000177073,0.000177073,0.000177073
124,64067.9,0.56365,0.32201,0.9381,0.96499,0.9899,0.9924,0.89101,0.4206,0.26702,0.89046,0.000171074,0.000171074,0.000171074
