                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2648,                 1.5541,                 2.0926,                0.85175,                0.80153,                0.87808,                0.77765,                 1.0824,                 1.4237,                 1.9513,             0.00023229,             0.00023229,             0.00023229
                     35,                 1.2501,                 1.5175,                 2.0797,                0.84621,                 0.7801,                0.88228,                0.77838,                  1.084,                 1.3697,                 1.9865,             0.00022887,             0.00022887,             0.00022887
                     36,                 1.2491,                 1.4575,                 2.0734,                0.83565,                0.80765,                0.88522,                0.78543,                 1.0918,                 1.2836,                 1.9646,             0.00022546,             0.00022546,             0.00022546
                     37,                  1.257,                 1.4784,                 2.0802,                0.86401,                 0.7993,                0.89648,                0.79017,                 1.0959,                 1.2153,                 1.9972,             0.00022204,             0.00022204,             0.00022204
                     38,                 1.2298,                 1.4441,                 2.0695,                0.82958,                0.81066,                0.89084,                0.78444,                 1.1086,                 1.3494,                 1.9799,             0.00021863,             0.00021863,             0.00021863
                     39,                 1.2376,                 1.4382,                 2.0663,                0.85593,                0.80055,                0.89419,                 0.7868,                 1.0748,                 1.2613,                 1.9484,             0.00021521,             0.00021521,             0.00021521
                     40,                  1.247,                 1.4232,                 2.0792,                0.87863,                0.75293,                0.88695,                0.79386,                 1.0592,                 1.3424,                 1.9365,              0.0002118,              0.0002118,              0.0002118
                     41,                 1.2325,                 1.3911,                 2.0694,                0.84387,                0.81769,                0.89619,                0.79574,                 1.0423,                 1.2117,                 1.9373,             0.00020838,             0.00020838,             0.00020838
                     42,                 1.2211,                 1.3865,                 2.0696,                0.87657,                 0.7314,                0.86743,                0.76827,                 1.0577,                 1.4555,                 1.9478,             0.00020496,             0.00020496,             0.00020496
                     43,                 1.2078,                 1.3816,                 2.0546,                0.82991,                0.78491,                0.88489,                0.77585,                 1.1209,                 1.3671,                   1.99,             0.00020155,             0.00020155,             0.00020155
                     44,                 1.2174,                 1.3543,                 2.0591,                0.84338,                 0.7822,                0.90052,                0.80076,                 1.0781,                 1.2515,                 1.9478,             0.00019813,             0.00019813,             0.00019813
                     45,                 1.2105,                 1.3188,                 2.0531,                0.87385,                0.76596,                0.87623,                0.77783,                 1.0805,                 1.4256,                 1.9468,             0.00019472,             0.00019472,             0.00019472
                     46,                 1.2152,                 1.3106,                 2.0569,                0.78527,                0.79777,                0.87394,                0.77387,                 1.0914,                 1.3403,                 1.9594,              0.0001913,              0.0001913,              0.0001913
                     47,                 1.1853,                 1.2734,                 2.0444,                0.82205,                0.77514,                0.89015,                0.79188,                 1.0628,                 1.2586,                   1.95,             0.00018789,             0.00018789,             0.00018789
                     48,                 1.1915,                 1.2737,                 2.0346,                0.86103,                0.80417,                0.89611,                0.79957,                 1.0809,                 1.2274,                 1.9958,             0.00018447,             0.00018447,             0.00018447
