epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4660.14,0.70204,0.47294,1.04651,0.95671,0.97872,0.98611,0.86184,0.52948,0.31601,0.93623,0.007921,0.007921,0.007921
44,4764.19,0.69594,0.47718,1.04849,0.95554,0.97412,0.98479,0.87402,0.53093,0.30718,0.93193,0.0078715,0.0078715,0.0078715
45,4879.3,0.70027,0.4643,1.04577,0.97896,0.97232,0.98783,0.86699,0.539,0.29373,0.94239,0.007822,0.007822,0.007822
46,4981.41,0.68419,0.46206,1.04373,0.96545,0.98184,0.98869,0.8739,0.52288,0.29351,0.93624,0.0077725,0.0077725,0.0077725
47,5085.38,0.68414,0.45407,1.03763,0.95717,0.97461,0.9843,0.87345,0.51497,0.30168,0.9278,0.007723,0.007723,0.007723
48,5198.62,0.69074,0.46439,1.04939,0.98154,0.97308,0.9899,0.88125,0.51047,0.29143,0.9236,0.0076735,0.0076735,0.0076735
49,5300.54,0.67855,0.44668,1.0377,0.96028,0.98761,0.98869,0.88204,0.50328,0.2918,0.91569,0.007624,0.007624,0.007624
50,5409.8,0.68123,0.45091,1.04034,0.98777,0.97618,0.99022,0.88822,0.49299,0.26967,0.91189,0.0075745,0.0075745,0.0075745
51,5528.71,0.67792,0.45079,1.03321,0.96401,0.97997,0.98938,0.88569,0.49809,0.29728,0.91769,0.007525,0.007525,0.007525
52,5638,0.66339,0.43903,1.02348,0.979,0.9807,0.99006,0.88284,0.51033,0.2789,0.92663,0.0074755,0.0074755,0.0074755
53,5750.86,0.66491,0.44024,1.02692,0.97919,0.98451,0.99057,0.88627,0.49443,0.26488,0.91184,0.007426,0.007426,0.007426
54,5864.32,0.67137,0.44222,1.03342,0.95862,0.986,0.98995,0.88475,0.49542,0.28356,0.91787,0.0073765,0.0073765,0.0073765
55,5973.72,0.65267,0.4274,1.02415,0.96422,0.98264,0.98792,0.8856,0.50456,0.28124,0.92453,0.007327,0.007327,0.007327
56,6082.61,0.66633,0.44164,1.02964,0.97053,0.98362,0.98893,0.88569,0.48562,0.27926,0.90096,0.0072775,0.0072775,0.0072775
57,6199.64,0.65405,0.42278,1.02355,0.97817,0.98444,0.98998,0.8967,0.47981,0.2671,0.90239,0.007228,0.007228,0.007228
58,6303.24,0.64407,0.42941,1.01929,0.97788,0.98382,0.99061,0.89184,0.48349,0.27654,0.90843,0.0071785,0.0071785,0.0071785
59,6408.23,0.64644,0.4258,1.02037,0.98012,0.98089,0.9917,0.89801,0.47313,0.25933,0.89907,0.007129,0.007129,0.007129
60,6522.31,0.64631,0.42411,1.02008,0.97703,0.98913,0.99148,0.89939,0.46665,0.25788,0.89526,0.0070795,0.0070795,0.0070795
61,6625.6,0.63757,0.41858,1.01733,0.96294,0.98936,0.98887,0.89417,0.47818,0.26525,0.90561,0.00703,0.00703,0.00703
62,6730.23,0.64584,0.42272,1.02011,0.98006,0.98759,0.99214,0.89925,0.4653,0.25022,0.8937,0.0069805,0.0069805,0.0069805
63,6844.75,0.6318,0.4097,1.01351,0.97737,0.99186,0.99277,0.91008,0.45007,0.24545,0.88823,0.006931,0.006931,0.006931
64,6946.32,0.63362,0.41404,1.01302,0.97758,0.99307,0.99255,0.90971,0.45163,0.24493,0.88646,0.0068815,0.0068815,0.0068815
65,7054.03,0.63908,0.41281,1.01306,0.97502,0.99046,0.9895,0.90762,0.44764,0.24411,0.88112,0.006832,0.006832,0.006832
